xaxis label,Turquoise,Pale Green,Orchid,Medium Purple,Dark Gold,Orange
xaxis label,99,95,95,98.8,95,95
xaxis label,99,95,95,98.5,95,95
yaxis label,99,95,95,98.5,95,96
orange scrappy label,98,95,95,98.5,95,96
dark gold scrappy label,98,95,95,98.1,95,95
medium purple scrappy label,98,95,96,97.9,95,95
dark gold scrappy label,98,95,96,98.2,95,95
orange scrappy label,98,95,96,98.3,95,95
dark gold scrappy label,98,95,96,98.3,95,95
medium purple scrappy label,98,95,96,97.7,95,95
dark gold scrappy label,98,95,96,97.3,95,95
medium purple scrappy label,98,95,96,97.3,95,95
dark gold scrappy label,98,95,96,97.3,95,95
orange scrappy label,98,95,96,97.3,95,9
