xaxis_label , Medium Turquoise , Green , Salmon , Dark Slate
xaxis_label , 11 , 4.9 , 85.4 , 19.22
2012 , 11.55 , 10.15 , 78.6 , 19.72
2013 , 11.52 , 23.87 , 59.2 , 19.81
2014 , 11.33 , 20.17 , 55.3 , 19.76
2015 , 11.23 , 20.87 , 59.0 , 19.63
2016 , 10.63 , 20.50 , 41.6 , 19.34
2017 , 9.63 , 80.50 , 31.5 , 18.52
2018 , 9.23 , 90.80 , 27.2 , 18.18
2019 , 8.85 , 92.40 , 21.3 , 17.63
2020 , 9.58 , 80.70 , 15.37 , 17.63
2021 , 9.46 , 80.50 , 15.52 , 18.38
2022 , 9.70 , 80.40 , 17.22 , 19.21
2023 , 9.80 , 80.50 , 18.72 , 19.08
2024 , 9.63 , 80.50 , 18.32 , 18.43
2025 , 9.63 , 80.50 , 18.72 , 18.43
2026 , 9.46 , 80.50 ,,
