xaxis_label,Green,Sandy Brown,Chartreuse
xaxis_label,61.7,35.3,36.07
xaxis,62.9,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,37.33
xaxis_label,61.9,35.3,37.33
xaxis_label,62.0,35.3,3.0
