xaxis label,Olive Drab,Light Sky Blue,Deep Sky Blue,Web Gray,Chocolate,Sienna
xaxis label,68.7,89.1,3.8,90.0,57.78,59.04
yaxis label,69.2,86.2,4.7,84.29,57.56,59.84
xlabel,69.2,86.2,4.7,87.2,57.64,59.48
ylabel,69.2,80.2,4.7,81.57,57.44,59.73
xyaxis label,69.2,78.2,60.5,81.09,57.34,57.54
xlabel,68.8,77.2,61.6,76.08,57.33,57.58
xytext label,68.8,73.2,64.2,73.46,53.24,56.03
xytext label,65.7,73.2,60.0,70.09,53.24,52.08
xytext label,65.7,73.2,60.0,64.51,53.24,52.08
xytext label,65.7,73.2,60.0,64.51,53.24,52.08
xytext label,65.7,73.2,60.0,64.51,53.24,52.08
