Maxis label,0,26.53,26.42,11.0,12.6,4.7,0.62
Jan,0.18,26.42,26.4,26.3,11.0,12.6,0.62
Feb,0.18,26.42,26.3,26.3,11.0,12.6,0.62
Mar,0.18,26.42,26.3,26.3,11.0,12.6,0.62
Apr,0.2,26.42,26.3,26.3,11.0,11.4,0.62
May,0.18,26.42,26.3,26.3,11.0,11.4,0.62
Jun,0.18,26.41,26.3,26.3,11.0,11.4,0.62
Jul,0.18,26.27,26.3,26.3,11.0,11.51,0.62
Aug,0.2,21.59,25.2,23.4,19.2,19.33,0.22
Sep,0.5,24.18,24.18,23.46,19.2,0.45,0.62
Oct,0.18,21.59,25.71,23.46,19.2,0.2,0.45
Nov,0.04,0.07,0.07,0.07,0.06,0.05,0.07
Dec,0.05,0.08,0.08,0.11,0.11,0.11,0.11
Jan,0.18,0.2,0.17,0.25,0.23,0.22,0.25
