Years,Years label,Yields
Royal Blue,0,93.0399
Peru,1,92.1399
Peru,2,91.9799
Peru,3,91.48
Peru,4,91.48
Peru,5,89.87
Cyprus,0,5.56
Cyprus,1,5.56
Cyprus,2,15.43
Cyprus,3,20.51
Cyprus,4,22.79
Cyprus,5,35.16
Cyprus,6,35.62
Cyprus,7,33.29
Cyprus,8,40.91
Cyprus,10,55.0
Cyprus,11,86.91
Cyprus,12,86.91
Cyprus,13,85.16
Cyprus,17,80.51
Cyprus,19,80.51
Cyprus,20,85.91
Cyprus,21,74.28
Cyprus,22,73.28
Cyprus,30,73.28
Cyprus,27,66.61
Cyprus,28,66.61
Cyprus,29,66.61
Cyprus,30,65.64
Cyprus,31,65.5
Cyprus,33,61.1
Cyprus,36,61.6
Cyprus,4,61.6
Cyprus,5,"55.5"""
