Group,Years,Amount(%)
Europe(developing only),2003,10.1739529587881
Europe(developing only),2004,10.7254850829569
Europe(developing only),2005,12.520461394485
Europe(developing only),2006,13.5924915304677
Europe(developing only),2007,13.1471833238819
Europe(developing only),2008,13.6109728784635
European Union,2003,13.4486926109964
European Union,2004,14.1684993586584
European Union,2005,15.4563597997507
European Union,2006,15.76891092693161
European Union,2007,16.3823547314449
European Union,2008,17.3514648491465
Zambia,2003,6.01768630324449
Zambia,2004,5.53442988054488
Zambia,2005,7.59019562705395
Zambia,2006,6.48988863032101
Zambia,2007,11.4420626063633
Zambia,2008,9.610553131181888
