Group,Years,Gross enrolment ratio (%)
Middle East & North Africa (developing only),0,15.6850401855475
Middle East & North Africa (developing only),1,16.3181109461016
Middle East & North Africa (developing only),2,17.0441230974689
Middle East & North Africa (developing only),3,17.94687903028137
Middle East & North Africa (developing only),4,19.3807200888951
Ethiopia,0,1.69053
Ethiopia,1,1.77632
Ethiopia,2,1.7906
Ethiopia,3,1.9626
Ethiopia,4,2.11826
Nigeria,0,8.11111999999999
Nigeria,1,11.76044000000001
Nigeria,2,11.39404000000001
Nigeria,3,14.1560000038146
Nigeria,4,13.94409000000001
Seychelles,0,95.89823
Seychelles,1,100.17505
Seychelles,2,97.42673
Seychelles,3,104.72869
Seychelles,4,103.480988
