Group,Insurance services (% of service imports),Years
Belgium,7.37646441861831,2006
Belgium,4.950632388091891,2007
Belgium,7.912271396688289,2008
Belgium,8.131736447098891,2009
Belgium,8.258090323882227,2010
Madagascar,0.537880833023975,2006
Madagascar,0.3964221239593671,2007
Madagascar,0.362219529244887,2008
Madagascar,0.408362709209977,2009
Madagascar,0.819052920769964,2010
Portugal,8.21492207748576,2006
Portugal,9.136416407923912,2007
Portugal,9.31643273866889,2008
Portugal,8.68920521640239,2009
Portugal,9.69943364639877,2010
