Group,Earning(%),Country
1960,23.5061099285678,"Egypt, Arab Rep."
1960,8.4129564077026,Finland
1960,36.8378662952519,France
1960,16.9282701519219,Germany
1960,7.014850595366829,Greece
1961,16.8648505953668,"Egypt, Arab Rep."
1961,7.60679555555555,Finland
1961,31.6062791165913,France
1961,14.8637216268215,Germany
1961,5.93793715732102,Greece
1962,19.1661314555773,"Egypt, Arab Rep."
1962,6.09959090909086,Finland
1962,26.3429434157711,France
1962,13.7063032902611,Germany
1962,7.30679555555555,"Greece"""
