Group,Health expenditure (as % of GDP),Years
Bulgaria,3.653832991378379,1998
Bulgaria,3.96277608859075,1999
Bulgaria,3.76606148745999,2000
Bulgaria,4.304047598207379,2001
Bulgaria,4.64453761479141,2002
Ethiopia,1.66659996531595,1998
Ethiopia,1.87887531899176,1999
Ethiopia,2.4264995422363,2000
Ethiopia,2.27631005629956,2001
Ethiopia,2.59855999954223,2002
Monaco,2.75285891329876,1998
Monaco,2.984989599999996,1999
Monaco,2.863437909999993,2000
Monaco,2.91396009195053,2001
Monaco,2.96473999990463,2002
