Group,Value added (constant 2005 US$),Country
1960,103664318017.152,France
1960,375179028.701465,Honduras
1960,19502966055.0908,India
1960,6007134565.53042,Indonesia
1960,20339149925.5364,Iran
1961,111631592165.97,France
1961,365812560.857089,Honduras
1961,20826577241.2416,India
1961,6516895610.19956,Indonesia
1961,23768729163.5247,Iran
1962,119040604409.252,France
1962,415853634.08633,Honduras
1962,22244101303.0451,India
1962,6367015089.30468,Indonesia
1962,26301709826.7227,Iran
1963,128288151245.08,France
1963,423038703.255469,Honduras
1963,24427257320.3066,India
1963,6229178416.21563,Indonesia
1963,28475260845.1861,Iran
