Group,Years,Balance of Payment (as % of service exports)
Croatia,0,11.4796318559074
Croatia,1,10.7636470885616
Croatia,2,10.9069563899037
Croatia,3,11.9468483748816
Croatia,4,13.4533427845926
Croatia,5,12.6421520898416
Croatia,6,14.0513643342384
Ethiopia,0,0.7370275300430328
Ethiopia,1,0.7796577100808029
Ethiopia,2,0.962843470226826
Ethiopia,3,1.073525949880521
Ethiopia,4,0.8913204301747472
Ethiopia,5,0.943356930925677
Ethiopia,6,0.697043418260826
Macao,0,23.95735277777771
Macao,1,31.328307777777713
Macao,2,32.63945697777772
Macao,3,38.17124357777772
Macao,4,35.01515277777772
Macao,5,34.92902633577772
Macao,6,37.30914803030302
Romania,0,7.020930642030302
Romania,1,9.80097030303026
Romania,2,6.639470303030221
Romania,3,8.3256691533723
Romania,4,8.890729153372337
Romania,5,5.95926129526082
Romania,6,6.4531761245544725
